Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
321,Alex Len,C,28,SAC,33,9,16.9,2.5,4.7,0.529,0.2,0.6,0.316,2.3,4.1,0.559,0.548,1.1,1.7,0.643,1.5,3.2,4.6,1.2,0.4,0.8,1.2,2.7,6.2
368,Chimezie Metu,C,24,SAC,39,20,22.5,3.5,8.1,0.433,0.9,3.4,0.271,2.6,4.6,0.552,0.49,1.1,1.4,0.732,0.6,5.3,5.9,1.1,0.9,0.6,1,1.5,8.9
374,Davion Mitchell,PG,23,SAC,51,8,26.1,4.3,10.5,0.408,1.4,4.3,0.32,2.9,6.2,0.47,0.474,0.5,0.8,0.558,0.5,1.8,2.3,3.5,0.7,0.3,1.2,1.9,10.4
388,Emmanuel Mudiay,PG,25,SAC,2,0,5.5,0,1,0,0,0,,0,1,0,0,1.5,2,0.75,0,0,0,2,0.5,0,0.5,0.5,1.5
390,Ade Murkey,SG,24,SAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
455,Neemias Queta,C,22,SAC,10,0,5.6,0.9,2.3,0.391,0,0,,0.9,2.3,0.391,0.391,0.3,0.5,0.6,1.1,0.8,1.9,0.4,0.1,0.4,0.4,1.1,2.1
457,Jahmi'us Ramsey,SG,20,SAC,19,0,7.1,1.3,3.1,0.414,0.3,0.9,0.278,1,2.1,0.475,0.457,0.4,0.7,0.5,0.2,0.5,0.7,0.4,0.1,0.1,0.3,0.5,3.2
527,Tristan Thompson,PF,30,SAC,30,3,15.2,2.5,5,0.503,0,0,1,2.5,5,0.5,0.507,1.1,2,0.533,2.4,3,5.4,0.6,0.4,0.4,1,1.7,6.2
583,Robert Woodard II,SF,22,SAC,12,0,3.5,0.2,1.3,0.125,0.1,0.3,0.25,0.1,1,0.083,0.156,0.2,0.2,1,0.4,0.5,0.9,0.3,0.1,0.1,0.1,0.3,0.6
36,Keita Bates-Diop,SF,26,SAS,42,12,16.7,2.2,4.4,0.5,0.3,1,0.333,1.9,3.4,0.549,0.538,0.7,1,0.69,1.1,3,4,0.6,0.5,0.3,0.7,1,5.4
87,Devontae Cacok,PF,25,SAS,8,0,8.4,2,2.9,0.696,0,0,,2,2.9,0.696,0.696,0.5,0.9,0.571,0.6,2.8,3.4,0.3,0.5,0.9,0.1,1,4.5
